,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况,Python,Sql,R,Java,Hadoop,C,Spark,Excel,Hive,Sas
10,数据分析,北京星纪元科技有...,10000人以上,上海 浦东新区 塘桥,本科,3-5年,数据分析BI,岗位职责：1、对销售数据、市场数据，用户行为数据等进行搜集、分析和整理，撰写和汇总分析报告，为业务部门提供精准的数据支持与理论依据；2、负责业务报表的开发和维护，并能及时响应Ad-hoc的数据及分析需求；3、能根据业务特性协助在olap层搭建数据分析平台，提高数据性能及分析时效；岗位要求：1、2-3年互联网/金融行业/电子商务相关经验；2、3年以上数据处理、统计分析或市场调研等相关工作经验；3、精通Oracle/SQL，Hadoop Hive/impala，Python，R，Tableau等系列软件；4、优秀的数据思维和强烈的数据决策意识，良好的数据敏感度，能从海量数据提炼核心结果，善于用简单语言表述复杂结论；5、清晰、严谨的逻辑思维能力和分析能力，有敏锐的市场洞察力，良好的沟通和协调能力；6、思路严谨，具有良好的心理素质及能承受较大的心理压力，良好的团队协作能力。,11k-18k,不需要融资,1,1,1,0,1,0,0,0,1,0
11,数据分析,罗比,100-499人,上海 虹口区 七浦路,本科,1-3年,数据分析,2年以上2、做过数据可视化3、独立出具过分析报告4、做过数据集市5、有建模经验,10k-13k,100-499人,0,0,0,0,0,0,0,0,0,0
12,数据分析,上海创蓝文化传播,500-999人,上海 松江区 新桥,本科,1-3年,数据分析师,"数据分析岗位要求：1.统计学，经济，数学，计算机专业；2.热爱分析，有相关报表搭建制作以及数据建模方面的经验优先3.善于与公司部门人员沟通，收集各需求部门的数据需求，理解需求，撰写报表需求文档4.熟悉大数据导入导出,对数据处理有一定心得6.负责BI 报表的搭建，制作7.精通excel，ppt,Tableau可视化报表，会Python、r,等至少一门数据分析工具8.利用sql进行数据提取",10k-15k,A轮,1,1,1,0,0,0,0,1,0,0
13,数据分析,悠融资产,1000-9999人,上海 杨浦区 五角场,本科,1-3年,BI数据分析,岗位职责：1、快速并充分理解业务，并搭建有效自动化监控及可视化体系，用数据来体现业务工作的水平；2、数据体系和数据报表的维护和搭建，以及日常运营数据的监控和分析3、确保各指标、各数据的准确性及有效性，能及时定位并修复异常数据问题；4、以数据驱动业务，挖掘业务策略和流程的可优化点，提供有效的数据分析结果作为比对支持；5、与大数据、机器学习、产品运营等团队紧密合作，推进部门整体运营效率的提升；任职要求：1.本科及以上学历，计算机、统计学、数学相关专业，2年以上数据仓库、BI分析相关经验；互联网、金融、电商行业经验优先；2.熟悉行业主流BI/数据可视化工具，包括不限于 hive、sqlserver、tableau等常用软件，熟悉数仓结构体系；3.具备出色的数据分析能力、逻辑思维能力、沟通能力、快速学习能力，能深入；能够使用R、 Python、Spark、SAS、SPSS中的任意一种优先；,12k-24k,不需要融资,1,0,1,0,0,0,1,0,1,1
14,数据分析,奕尚网络,100-499人,上海 长宁区 北新泾,本科,1-3年,数据分析,岗位职责1、专注于服饰为主的行业研究，跟踪行业动态，为现有客户和新客户合作提供专业上的信息支持；2、参与公司内部运营分析，通过数据工具分析运营层面数据指标，为提升运营效率提供支持；包括营销分析、商品分析、用户分析等3、新零售研究，挖掘可能的机会点，提供新零售场景分析报告4、协助电商新渠道研究，提供渠道运作分析报告5、协助运营部门建立可视化数据分析平台6、电商竞争对手情报搜集和报告编辑7、分析项目生命全周期，洞察数据趋势，完成相关专题分析8、定期知识分享与培训任职要求1、大学本科及以上，理工科背景，数字敏感，数学逻辑强2、3年以上工作经验，商业敏感度高，以定量研究、数据分析、咨询公司（电商经验）背景为佳3、自我驱动力强、沟通协调强、学习能力强4、EXCEL和PPT功底好，略懂SQL更好5、团队精神，职业道德,7k-12k,不需要融资,0,1,0,0,0,0,0,1,0,0
15,数据分析,滴滴出行,10000人以上,上海 静安区 大宁路,本科,5-10年,数据分析专家,1、基于数据分析，辅助业务管理团队科学决策，协助团队商业目标的达成；2、构建业务分析体系，监控运行状况；针对重点问题深入分析，定位问题，提供解决问题的建议；3、对于具体的场景，运用数据分析，与大数据算法同学深度合作，解决业务的核心痛点和难点；4、沉淀分析思路与框架， 提炼数据产品需求，与相关团队协作并推动数据产品和决策系统的落地；,20k-40k,D轮及以上,0,0,0,0,0,0,0,0,0,0
16,数据分析,众安保险,1000-9999人,上海 黄浦区 外滩,本科,3-5年,数据分析师,"数据分析师岗位职责1、梳理业务部门的分析需求，规划报表需求，实现日常数据可视化；2、基于业务特征优化并完善业务指标体系,包括KPI指标体系、用户画像标签体系等；3、跨部门沟通，负责所需数据的提取、查询、分析等工作，以满足业务需求；4、深入理解产品和业务方向及策略，持续监控运营和产品改进效果，为业务部门提供业务优化建议；5、为业务决策提供数据解决方案，为团队分析能力的提高提供指导岗位要求?- 能独立编写数据分析报告，及时发现和分析其中隐含的变化和问题，具备良好的数据敏感度和逻辑分析能力；?- 具有数据处理能力，熟悉使用sql，excel。会Python、r、sas、oracle、mysql优先；?- 能快速理解定位业务痛点，提出综合性解决方案；?- 有概率论，统计学，机器学习等数据分析方面知识的优先。?- 有保险公司经验者优先",15k-25k,已上市,1,1,1,0,0,0,0,1,0,1
17,数据分析,软通动力,10000人以上,上海 徐汇区 龙华,大专,1-3年,数据分析工程师,"工作职责:1、 根据项目的开发需求负责项目的数据分析及应用开发2、 参与各种项目开发环节，提供数据库应用解决方案3、 根据用户需求或产品功能进行模块细部设计与数据平台功能开发4、 对接各产品, 用户端系统, 或其它第三方平台，完成数据集成工作；任职资格:1、 本科及以上学历，3年以上数据挖掘开发经验2、 对数据处理、数据建模、数据分析有深刻认识和实战经验3、 熟悉Java,SQL，Python, Shell，MapReduce等编程4、 熟悉MangoDB, MySql等数据库应用5、 具备 Hadoop/HBase/Spark/Flink使用经验者优先6、 能够积极创新， 乐于面对挑战， 负责敬业。优秀的团队合作精神",10k-15k,未融资,1,1,0,1,1,0,1,0,0,0
18,数据分析,树融科技,20-99人,上海 杨浦区 江湾,硕士,3-5年,高级数据分析师,"职位描述：1.城市及商业数据分析、模型建构、报告撰写；2.主要为城市数据（交通、规划、地理信息、人口等数据）分析，算法设计与开发；3.配合CTO对数据分析团队的管理；4.参与公司核心数据模型设计，应用模型搭建；5.总结新的模型方法，通过培训等方式普及和推广新模型在公司的使用。职位要求：1.对数据敏感，逻辑严谨，责任心强，工作主动自驱，沟通能力强；2.熟练掌握 Python/R等语言；3.熟悉 MySQL、PostgreSQL 或 MongoDB 等数据库 ；4.具备GIS数据管理、分析、数据处理和转换能力。加分项：1.了解机器学习基本方法及主流机器学习框架；2.有统计模型经验, 有Javascript开发经验。",20k-40k,天使轮,1,0,1,0,0,0,0,0,0,0
19,数据分析,太平洋房屋,10000人以上,上海 徐汇区 枫林路,本科,1-3年,数据分析师,"岗位职责：1 配合公司项目要求，梳理业务流程，收集分析确认客户需求，搭建数据指标分析体系，制定数据统计规范，并实施落实；2 梳理数据流，进行数据清洗加载，根据需求协助搭建多维模型数据仓库； 3积极响应职能和业务部门的数据分析、BI报表和数据提取需求，保证准确性、全面性和时效性；4定期追踪业绩及其他关键业务指标情况，发现并指出数据异常情况，提出预警和建议，为公司领导及时决策提供保障和参考；5收集工作中的问题反馈和需求，提出优化和改善方案；6完成部门交办的其他工作事宜。岗位要求：1、本科及以上学历；数学、统计、计算机、经济学相关专业优先。2、2年或以上数据分析工作经验，有互联网/地产中介/电商/咨询公司工作经验者优先；3、优秀的逻辑思维能力，较强的表达沟通能力，良好的数据分析与建模能力、文字与报告撰写能力，自我学习能力、抗压能力强4、善于发现问题，积极主动提出问题和改进方案；细心，有耐心，责任心强；5、熟练使用SQL, FineReport, Tableau, Excel, R, Python等工具；6、熟悉数据挖掘理论与方法，如聚类分析，决策树，逻辑回归，关联规则等",8k-16k,已上市,1,1,1,0,0,0,0,1,0,0
20,数据分析,北京星纪元科技有...,10000人以上,上海 浦东新区 陆家嘴,本科,1-3年,BI数据分析,1、熟悉投资业务，有数据画像工作经验优先；? 2、熟悉主流分析算法如：聚类，分类，回归，文本处理等；有自然语言处理经验优先；             ? 4、熟悉Mongodb或hadoop等数据库，有金融大数据开发经验优先；? 5、熟练使用Python语言进行数据分析，或是R，Scala语言；? 6、熟悉软件技术文档的编写，具备良好的文档编制习惯和规范的代码书写；? 7、热爱技术工作，具有较强的团队协作意识，高度的责任感，对工作积极严谨，勇于承担责任。? 8、有较强的学习和理解能力，思路清晰，善于思考，能独立分析和解决问题。,8k-12k,不需要融资,1,0,1,0,1,0,0,0,0,0
21,数据分析,携程旅行网,10000人以上,上海 长宁区 北新泾,本科,3-5年,数据分析师,"职位描述1.	行业和竞争监控：根据业务需求，识别、搜集、整理各类外部信息，并结合内部相关信息/数据形成可内外部关联的竞争监控体系；在监控体系的基础上，形成对业务有价值并可落地的洞察结论。2.	指标体系构建：构建全面的、准确的、能反映服务业务线特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位业务问题3.	专题分析：基于对业务战略的理解，从市场、行业、竞争、内部数据等内外部资源对业务问题进行深入分析，为公司运营决策、产品方向、内容策略提供数据支持4.	建立并持续优化分析方法论：沉淀分析思路与框架，提炼数据产品需求，推动数据产品的落地和业务数据化运营理念的传播。岗位要求：1.	3年以上市场研究、咨询公司、投行分析师或数据分析相关工作经验，有产品分析，OTA相关行业工作经验优先2.	专业能力：a)	具备良好的商业敏感度，能快速熟悉业务并准确判断业务症结点b)	熟悉各种外部信息搜集渠道，能系统全面地解析新兴行业/竞争对手，能够快速形成与业务需求匹配的分析方法c)	具备较强的逻辑分析能力，能够独立撰写各种商业数据分析报告，发现和分析业务中隐含的商业变化和问题d)	良好的数据分析能力，熟练使用数据分析软件，会使用SQL，并能用简洁清晰的方式呈现商业逻辑和洞察，最好具备一定的算法基础3.	具备较好主观能动性和执行力，乐于通过自我驱动拿到结果4.	具有强团队合作精神和抗压能力，有大型跨团队工作经验优先",15k-30k,已上市,0,1,0,0,0,1,0,0,0,0
22,数据分析,遨游酒店信息技术公司,1000-9999人,上海 徐汇区 淮海路,本科,3-5年,数据分析经理,岗位职责：1. 撰写商业数据分析报告，为市场活动提供数据洞察，牵引业务改进2. 参与数据报表系统搭建，解读商业数据，支持业务决策3. 与相关团队（市场、运营、技术）协作，进行需求调研、商业数据分析和数据挖掘工作，带领团队推动数据产品的落地和快速迭代4. 负责数据分析团队的日常管理、目标制定和绩效考核任职资格：1. 统计学、数学、计算机科学等相关专业，3年以上相关工作经验2. 精通Tableau报表开发，熟悉数据分析工具（SAS/R/Python）3. 精通Oracle/Mysql/Sqlserver等至少一种关系型数据库4. 良好的数据敏感度，能从商业数据和用户行为数据中提炼数据洞察，解决实际问题；熟练独立撰写商业数据分析报告，能高效的与各团队进行沟通5. 熟悉用户生命周期中的各项数据指标，对复杂业务逻辑有系统性理解、梳理、实施解决方案的能力6. 熟悉用户画像、渠道评分、聚类、关联分析、回归、决策树、随机森林等数据挖掘算法的一种或几种，且有实际操作经验者，优先考虑7. 工作细致认真，良好的沟通理解能力，有责任心,30k-40k,D轮及以上,1,0,1,0,0,0,0,0,0,1
23,数据分析,博荟实业,20-99人,上海 杨浦区 五角场,学历不限,经验不限,数据分析,岗位职责：1、在网站数据和营销传播两个方向上提供多维数据分析服务，并根据数据分析结果提出业务策略建议；2、负责使用网站分析工具，对全站的流量进行统计、分析和监控，分析流量的来源、关键词、访问深度，停留时间等维度，能得出相应的逻辑给出指导意见3、?对已经形成订单的客户和订单管理系统中收集来的数据做整理，按照相应的逻辑进行分类，并配合其他市场人员进行营销和推广；??对各个推广平台的数据进行整理，统一优化整个系统的数据资源配合进行全渠道营销。?4、配合董事长，参与每月课件ppt的制作。在数据方面具有一定咨询师的能力。任职资格：1.本科及以上学历，统计、数学、计算机相关专业优先。2.一年以上数据分析经验，有良好的逻辑思维能力和商业判断能力，沟通能力强，能排除困难推动工作的进展。3.sql使用经验丰富，熟练excel、Quickoffice等统计软件。,6k-10k,不需要融资,0,1,0,0,0,0,0,1,0,0
24,数据分析,哈啰出行,1000-9999人,上海 闵行区 莘庄,本科,5-10年,数据分析经理,岗位职责：1、基于哈罗体系海量数据，利用算法挖掘数据内在的模式和特征，发现潜在规律，建立数据挖掘算法并优化；2、负责将算法与海量的实际业务数据结合，并持续维护算法的有效性；3、基于挖掘结果总结有价值信息，为业务决策、管理等提供数据支持；4、支持数据分析师团队的数据模型工作。任职资格：1、计算机、统计学、数学、数理统计等相关专业，本科及以上学历，3年以上相关工作经验； 2、熟练掌握一种编程语言R，C/C++、java、python、perl等； 3、熟悉Hadoop等至少一个分布式框架，了解MapReduce基本原理，具备分布式平台处理海量数据的项目经验；4、对统计学和数据挖掘算法原理有较为深刻的理解，熟悉决策树、聚类、逻辑回归，关联分析、SVM，贝叶斯等数据挖掘算法优先；5、有用户行为分析、用户建模、业务建模、数学建模经验优先；6、良好的逻辑分析能力、分析问题和解决问题的能力，对数据敏感，自我学习驱动能力强，较强责任心；7、具备良好的团队协作意识、时间意识、沟通能力，能够承担工作压力。,30k-50k,D轮及以上,1,0,1,1,1,1,0,0,0,0
25,数据分析,卡行天下,1000-9999人,上海  ,本科,1-3年,数据分析师,职位描述：1、负责项目的需求调研，剖析业务需求，利用数据挖掘等工具对数据源进行数据整合；2、建立模型并优化，整理编写数据分析报告，及时发现和分析其中变化和问题，为公司运营决策等方面提供数据支持；2、参与数据挖掘模型的构建、检验、评估；通过对数据进行分析挖掘背后隐含的规律及对未来的预测，擅于发现业绩增长点；3、管理和优化数据分析模块的相关工作，建立数据监控看板，形成数据异常预警机制，提升数据自动化运营水平。任职要求：1、统计学、数学或计算机等相关专业本科或以上学历；有扎实的数据统计和数据挖掘专业知识；2、熟练使用Python、R、Tableau等数据科学工具，能熟练使用SQL查询数据；3、三年以上数据分析工作经验，使用过 逻辑回归、决策树、聚类 等建模方法；拥有一定的分析挖掘项目经验；4、主动性强，有较强的责任心、团队协作精神和钻研能力。,10k-20k,D轮及以上,1,1,1,0,0,0,0,0,0,0
26,数据分析,微盟,1000-9999人,上海 宝山区 淞南,本科,1-3年,数据分析师,岗位职责：1.根据业务需求，调研市场，开拓渠道，合理进行数据采集2.线索常规监控分析，结合业务实际，评估效果并给出合理策略建议3.评估当前区域资源使用全流程的有效性，优化全流程，如采集线索方向、分配合理性、使用有效性等，提出改进方案；4.根据现有数据与市场调研，总体了解市场客户规模与可开发规模，指导采集方向、资源支持及相关部门运营方案调整；5.利用数据挖掘技术分析、预测用户的行为，发现用户的特征，对老用户及潜在目标用户行为进行分析、建模，找到目标人群，验证效果，持续优化模型；6.上级安排的其它事项。,8k-16k,D轮及以上,0,0,0,0,0,0,0,0,0,0
27,数据分析,丽人丽妆,1000-9999人,上海 徐汇区 交大,大专,1-3年,数据分析主管（CRM）,"职责描述：1、根据公司发展策略, 协助制定数据管理和分析体系；2、利用数据分析工具，对CRM数据进行数据挖掘，分析数据，提供分析报告，为公司运营决策、产品方向等提供优化建议的报表和报告；3、负责数据监测，定期提供各种数据分析；4、对营销活动的数据表现进行检测分析；5、指导店铺运营经理, 利用相关数据制定管理目标；6、数据库日常维护,与IT、第三方供应商一起，根据品牌的拓展计划，协调数据流程及系统优化。任职资格:1、大专以上学历，统计学及相关专业；2、有3年以上的数据分析经验和一定的IT知识；3、对数据敏感，具有很强的数据处理和逻辑分析能力，且具有良好的学习能力、理解能力。",12k-18k,B轮,0,0,0,0,0,0,0,0,0,0
28,数据分析,礼高商贸,20-99人,上海 闵行区 程家桥,本科,3-5年,数据分析,工作职责:1.负责业务数据收集整理，对多种数据源的进行深度诊断性组合分析、挖掘、深度分析和建模；2.为公司运营决策、产品方向、销售策略、媒体投放策略提供数据支持；3.参与、组织客户调研，定期提供数据分析报告，并与相关同事沟通并推进以上结果；4.负责数据分析产品的设计、开发进度控制，辅助推进公司CRM系统建设；5.跟进产品的分析需求，撰写业务分析报告，结合数据趋势提出产品阶段性优化建议；6.不断创新和改善已有的异常数据监控方式，为产品运营提供可靠的数据支持；7.定期编制统计报表及分析简报。任职资格:教育背景:大学本科以上学历，统计学、市场营销、电子商务或数学相关专业毕业。培训经历:数据分析、数据建模、信息管理、项目管理等方面的培训。经 验:三年以上数据分析相关工作经验或数据研究经验。,8k-10k,天使轮,0,0,0,0,0,0,0,0,0,0
29,数据分析,威马,1000-9999人,上海 青浦区 ,本科,1-3年,数据分析师,1，负责业务数据的统计、分析、预测等；2，针对部门业务，进行深入的专题分析研究 ；3，发现业务中的亮点和问题，提供相关数据分析以及结果报告；4，通过数据挖掘与分析，分析营销和运营相关业务数据，提供决策支持和业务洞察；职位要求： 1，2~3年数据分析、数据挖掘工作经验；2，掌握SAS/SPSS/R/Python等专业统计分析软件的一种或几种； 3，具有扎实的统计学知识，熟悉数据采集、整理、分析和建模的方法和流程；4，具备良好的逻辑分析能力、组织沟通和团队精神；5，数学、统计学、计算机等相关专业优先；,20k-40k,B轮,1,0,1,0,0,0,0,0,0,1
30,数据分析,齐家网,1000-9999人,上海  ,本科,3-5年,数据分析师,1.负责数据服务类产品的规划，需求分析和产品设计并支持业务部门的数据需求；2.关注物流大数据应用相关方向的前沿研究，持续挖掘数据价值，并将相关成果快速内部产品化，将创新推向用户；3.负责在项目推进过程中的跨部门协调沟通工作，能够协调各资源以确保产品顺利发展；4.跟踪大数据应用市场动向，市场竞争对手分析，及时调整市场策略，创新产品应用。	职位要求：	1.本科及以上学历，3年以上相关工作经验，数学、数理统计或计算机相关专业背景者优先；2.熟练使用SQL；3.精通Linux开发，熟悉Python/Shell等脚本语言或R，对常用数据结构和算法有较为深刻的理解；4.具有良好自然语言处理、数据挖掘、机器学习等方面的技术背景优先；5.对数据敏感，信仰、热爱数据。,15k-30k,已上市,1,1,1,0,0,0,0,0,0,0
31,数据分析,饿了么,1000-9999人,上海 普陀区 金沙江路,本科,3-5年,数据分析师,"职位诱惑:  阿里本地生活公司职位要求:1.从事产品运营相关分析，完成日常需求和分析报告2.熟悉产品A/B测试的流程，针对产品改版给出专业的评估3.熟练掌握常用app的监控指标，参与构建指标监控体系4.了解GA,友盟等统计工具的使用和底层数据逻辑5.了解常用的数据挖掘方法:决策树，逻辑回归等。有相关项目经验优先。",20k-40k,D轮及以上,0,0,0,0,0,0,0,0,0,0
32,数据分析,游族网络,1000-9999人,上海 徐汇区 田林,学历不限,3-5年,数据分析师,工作职责1、对部门日志数据进行清理、整合；2、对各种数据进行分析有洞察力的分析；3、针对既定商业目标进行建模；4、协助大数据工程师进行产品化。任职资格1、数据分析工作经验3年及以上，有丰富数据建模经验，包括分类、推荐、预测、文本分类等；2、有数据ETL实现能力及较强的coding能力，掌握R或是Python（统计包）等统计工具，熟练掌握SQL，熟悉linux/shell基本功能；3、有hive使用经验优先，有技术BI、大数据相关工作经验优先，对spark mllib 有了解优先；4、具备良好的数据和商业敏感度、优秀的逻辑思维能力，乐于从纷繁的数据中寻找业务规律，较好的商业洞察力。,25k-45k,已上市,1,1,1,0,0,0,1,0,1,0
33,数据分析,北京星纪元科技有...,10000人以上,上海 浦东新区 塘桥,本科,3-5年,数据分析师,1、熟悉投资业务，有数据画像工作经验优先；? 2、熟悉主流分析算法如：聚类，分类，回归，文本处理等；有自然语言处理经验优先；             ? 4、熟悉Mongodb或hadoop等数据库，有金融大数据开发经验优先；? 5、熟练使用Python语言进行数据分析，或是R，Scala语言；? 6、熟悉软件技术文档的编写，具备良好的文档编制习惯和规范的代码书写；? 7、热爱技术工作，具有较强的团队协作意识，高度的责任感，对工作积极严谨，勇于承担责任。? 8、有较强的学习和理解能力，思路清晰，善于思考，能独立分析和解决问题。,8k-14k,不需要融资,1,0,1,0,1,0,0,0,0,0
